iteration,train_loss,val_loss,acc,val_acc
0,2.3275644779205322,2.3026440807535677,0.10546875,0.1
100,2.254395422935486,2.2051471577414983,0.1415234375,0.1635
200,2.1737050080299376,2.142723847039138,0.1682662051604783,0.1875
300,2.04794486284256,1.9865032751348954,0.212890625,0.2263
400,1.969845597743988,1.938745972476428,0.24048143486469478,0.2576
500,1.9302146065235137,1.9005954491941235,0.2547265625,0.2675
600,1.902232654094696,1.874651472779769,0.27214443045940845,0.2855
700,1.8834469306468964,1.8441516945633707,0.2747265625,0.2985
800,1.8533356738090516,1.8172398941426338,0.2966095028319698,0.3132
900,1.8215967059135436,1.7858945749983002,0.3103125,0.3306
1000,1.7894100105762483,1.7675403763976278,0.31989458779106356,0.3295
1100,1.7724604094028473,1.7352677583694458,0.329453125,0.3472
1200,1.7532022821903228,1.701145692716671,0.3414490245437382,0.3577
1300,1.725826439857483,1.674155597445331,0.3518359375,0.3805
1400,1.7151073443889617,1.6544967331463778,0.35647419760855886,0.3845
1500,1.6844496190547944,1.6221802989138832,0.3719140625,0.3974
1600,1.6595210576057433,1.6036436135255838,0.38451856513530525,0.41
1700,1.6390309202671052,1.5616509084460102,0.387421875,0.4275
1800,1.6150415873527526,1.5423430113852779,0.40044839521711767,0.4288
1900,1.5863626635074615,1.5542165101328982,0.4146875,0.4284
2000,1.582429769039154,1.5209580056274994,0.4163388923851479,0.4375
2100,1.5631337225437165,1.5009430978871598,0.4198828125,0.4518
2200,1.5593824064731598,1.4869710040997854,0.4266441157960982,0.4508
2300,1.54012681722641,1.4813627125341682,0.432265625,0.4558
2400,1.5270285558700563,1.456333625165722,0.4397026431718062,0.4634
2500,1.5200192415714264,1.4476143755490267,0.44453125,0.472
2600,1.5026239955425262,1.4238011957723884,0.4492212083071114,0.4815
2700,1.4774616706371306,1.4297923739952376,0.4575390625,0.4767
2800,1.475979540348053,1.3891710782352882,0.460037759597231,0.4906
2900,1.4574669528007507,1.3865375081195106,0.468984375,0.4973
3000,1.4529951012134552,1.384434076804149,0.46833700440528636,0.4968
3100,1.442626668214798,1.3574907613705984,0.47546875,0.5038
3200,1.4087463092803956,1.3352011774159684,0.4881214600377596,0.5162
3300,1.4161073100566863,1.3315364258198799,0.4808203125,0.5159
3400,1.3990570855140687,1.3114140033721924,0.4923300818124607,0.5203
3500,1.3892548286914825,1.3045036656947075,0.494375,0.5281
3600,1.3700975286960602,1.2910410844827,0.49909534298300817,0.5321
3700,1.356526859998703,1.3006690333161173,0.5092578125,0.5244
3800,1.3484022903442383,1.2705497809603243,0.5145531780994336,0.5395
3900,1.3411934435367585,1.2677315277389334,0.5151953125,0.5395
4000,1.3270984053611756,1.2609809833236887,0.5193124606670863,0.5431
4100,1.3343526899814606,1.2586945310423645,0.5173046875,0.5519
4200,1.3275335311889649,1.2365697976909107,0.5177391441157961,0.551
4300,1.3087840294837951,1.2355312244801582,0.5281640625,0.5567
4400,1.2927242398262024,1.2167729244956487,0.5307190056639396,0.5613
4500,1.289654437303543,1.2088313600685023,0.5361328125,0.5657
4600,1.2840695905685424,1.2044192959990683,0.5400015733165513,0.567
4700,1.2621106648445128,1.1838505275641815,0.543515625,0.5703
4800,1.267792751789093,1.1908692710007294,0.544918187539333,0.5727
4900,1.2498025143146514,1.1798375988308387,0.5518407803650094,0.5718
5000,1.2487559711933136,1.1782931391196916,0.5486328125,0.5773
5100,1.2394188249111175,1.188772427130349,0.5507394587791064,0.5718
5200,1.23482395529747,1.1669996524158912,0.555546875,0.5739
5300,1.2206913506984711,1.1597118770019919,0.5629719949653871,0.5773
5400,1.214836574792862,1.1504619378077834,0.561796875,0.5847
5500,1.214495759010315,1.1402202271207977,0.5653713027061045,0.5884
5600,1.1937318241596222,1.1261720363097856,0.57078125,0.5886
5700,1.186870834827423,1.1288650254660015,0.5746538703587162,0.5922
5800,1.1866161465644836,1.1213287122641937,0.573125,0.5984
5900,1.1703740417957307,1.133389188519007,0.5784691629955947,0.5929
6000,1.1624379014968873,1.0871455186530004,0.5829296875,0.6128
6100,1.160048223733902,1.101942647861529,0.5853130899937067,0.599
6200,1.1484832721948623,1.0893960647945162,0.5871484375,0.6125
6300,1.1377656197547912,1.0885243596909921,0.5895217117684078,0.6089
6400,1.1280345952510833,1.0691910318181486,0.5978515625,0.6139
6500,1.1406572562456132,1.0921155968798866,0.5940843297671492,0.6031
6600,1.1176724886894227,1.062677632404279,0.5978125,0.6167
6700,1.1139523375034333,1.066369108761413,0.5999056010069226,0.6156
6800,1.1221976977586747,1.0519786477088928,0.597421875,0.625
6900,1.0981064784526824,1.0411938557141944,0.6095028319697923,0.6298
7000,1.0836907398700715,1.0356747515593903,0.6145703125,0.629
7100,1.0908103501796722,1.0421839763846579,0.6088735053492763,0.6259
7200,1.0832718288898469,1.0288907508306866,0.6098828125,0.6308
7300,1.0824887555837632,1.0237430718880665,0.610997482693518,0.6324
7400,1.0777567446231842,1.0155003734781771,0.6179296875,0.639
7500,1.0671179884672164,1.0126937771145301,0.6172120830711139,0.636
7600,1.062256426215172,1.0057572926147074,0.6191015625,0.6392
7700,1.0551092040538788,1.0027876564219027,0.6248820012586532,0.6456
7800,1.0586028981208802,1.0072298495075371,0.620234375,0.6403
7900,1.0479454559087753,1.0018484433995019,0.624685336689742,0.6449
8000,1.0412618911266327,0.9900955142854135,0.6255859375,0.6484
8100,1.0338353246450425,0.9853034811683848,0.6321585903083701,0.6459
8200,1.023200933933258,0.9864851794665372,0.632578125,0.6446
8300,1.0253068780899048,0.9756059812594063,0.6329059156702328,0.6523
8400,1.0223797291517258,0.9692530775371986,0.6328515625,0.6545
8500,1.0200728535652162,0.9638179736801341,0.6351872246696035,0.6584
8600,1.0065217411518097,0.9626148924042907,0.638515625,0.6543
8700,0.9984367346763611,0.9524880949454971,0.6449811202013845,0.6625
8800,0.9925264286994934,0.966961669016488,0.645703125,0.6545
8900,0.9929082697629928,0.9594710009007514,0.6432504719949654,0.6582
9000,0.9836052483320237,0.9457800584503367,0.6480078125,0.6627
9100,0.9722819250822067,0.9441697672952579,0.6555223410950283,0.6609
9200,0.9715736335515976,0.9380202768724176,0.6516796875,0.6613
9300,0.9749521690607071,0.94145022389255,0.6521790434235368,0.6612
9400,0.9530063474178314,0.9249764786490912,0.66328125,0.6698
9500,0.9581953030824661,0.9237727990633324,0.6594949653870359,0.6696
9600,0.9500781375169755,0.9226129869871502,0.661796875,0.6676
9700,0.9425957626104355,0.9182047813753539,0.6614222781623663,0.6709
9800,0.9437969577312469,0.9162164481380318,0.6607142857142857,0.6744
9900,0.9310664981603622,0.9157661395736888,0.66609375,0.6734
10000,0.9428689873218536,0.9110751295391517,0.6663388923851479,0.674
10100,0.9211429506540298,0.9168975587132611,0.6694140625,0.671
10200,0.936345796585083,0.9044760337358788,0.664175582127124,0.6777
10300,0.9089649993181229,0.9014344072040124,0.6732421875,0.6798
10400,0.9216751396656037,0.8987172668493246,0.6712948395217118,0.6785
10500,0.899320873618126,0.9121283986900426,0.6815625,0.6785
10600,0.9095544248819352,0.8991724758208552,0.6760541220893643,0.6756
10700,0.8951793438196183,0.9011151224752015,0.682734375,0.6811
10800,0.8976877570152283,0.8877330618568614,0.6785714285714286,0.6834
10900,0.8906023001670837,0.8850587568705595,0.686015625,0.6833
11000,0.8837727922201156,0.8852961335001113,0.6848253618628068,0.683
11100,0.8795139896869659,0.8697024055674106,0.68828125,0.6901
11200,0.8792644435167313,0.8762482947941068,0.685179358086847,0.6884
11300,0.8705810987949372,0.8731596356705774,0.6923828125,0.6913
11400,0.8707591873407364,0.8704065499426443,0.6921412838263058,0.6874
11500,0.8534030896425248,0.8590344537662554,0.696640625,0.693
11600,0.8615060222148895,0.857324247118793,0.6939112649465072,0.6968
11700,0.8481516814231873,0.8597320318222046,0.698203125,0.696
11800,0.844162546992302,0.8582914237734638,0.7011091881686595,0.6927
11900,0.8525126475095749,0.8506448819667478,0.699765625,0.6941
12000,0.8336900961399079,0.8490076178236853,0.7046098174952801,0.6972
12100,0.8355993300676345,0.8285296680052069,0.7033984375,0.706
12200,0.8310870772600174,0.8389228552202636,0.7055144745122719,0.7046
12300,0.834017642736435,0.8383773882177812,0.7044921875,0.6983
12400,0.8188323825597763,0.8383213228817228,0.7089757709251101,0.6998
12500,0.8098569083213806,0.8290159340146221,0.712734375,0.7084
